"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect"
0.0000,0.0000,0.9604,0.0000,0.0000,0.0000
0.0000,0.0000,0.9298,0.0000,0.0000,0.0000
0.0000,0.0000,0.9061,0.0000,0.0000,0.0000
0.0000,0.0000,0.9945,0.9160,0.0000,0.0000
0.0000,0.0000,0.9834,0.8453,0.0000,0.0000
0.0000,0.0000,0.9282,0.7501,0.0000,0.0000
0.0000,0.0000,0.8343,0.6829,0.0000,0.0000
0.0000,0.0000,0.7901,0.6882,0.0000,0.0000
0.0000,0.0000,0.7514,0.6946,0.0000,0.0000
0.0000,0.0000,0.6740,0.6005,0.0000,0.0000
0.0000,0.0000,0.9834,0.0000,0.8779,0.0000
0.0000,0.0000,0.9890,0.0000,0.8357,0.0000
0.0000,0.0000,0.9337,0.0000,0.7491,0.0000
0.0000,0.0000,0.8950,0.0000,0.7598,0.0000
0.0000,0.0000,0.7735,0.0000,0.6353,0.0000
0.0000,0.0000,0.7182,0.0000,0.6142,0.0000
0.0000,0.0000,0.6740,0.0000,0.5750,0.0000
0.0000,0.0000,0.9890,0.0000,0.0000,0.9680
0.0000,0.0000,0.9669,0.0000,0.0000,0.9247
0.0000,0.0000,0.9116,0.0000,0.0000,0.8691
0.0000,0.0000,0.9006,0.0000,0.0000,0.8573
0.0000,0.0000,0.8398,0.0000,0.0000,0.8128
0.0000,0.0000,0.7790,0.0000,0.0000,0.7694
0.0000,0.0000,0.7017,0.0000,0.0000,0.6954
0.9690,0.0000,0.0000,0.9009,0.0000,0.0000
0.8605,0.0000,0.0000,0.7854,0.0000,0.0000
0.8010,0.0000,0.0000,0.7174,0.0000,0.0000
0.7229,0.0000,0.0000,0.6608,0.0000,0.0000
0.7039,0.0000,0.0000,0.6346,0.0000,0.0000
0.6628,0.0000,0.0000,0.6186,0.0000,0.0000
0.6035,0.0000,0.0000,0.6067,0.0000,0.0000
0.0000,1.0234,0.0000,1.0127,0.0000,0.0000
0.0000,1.0000,0.0000,0.9391,0.0000,0.0000
0.0000,0.9922,0.0000,0.8949,0.0000,0.0000
0.0000,0.9889,0.0000,0.8654,0.0000,0.0000
0.0000,0.9922,0.0000,0.8925,0.0000,0.0000
