"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm"
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1500,1.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,1.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,1.0950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9300,0.9433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.9071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,1.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,1.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,0.0000,1.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,1.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,1.2360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,1.2433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,2.0900,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.0000,0.0000,2.0633,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,1.9325,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,1.7780,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,1.6143,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,0.0000,1.1050,0.0000,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,0.0000,1.1200,0.0000,0.0000,0.0000,0.0000
0.9300,0.0000,0.0000,0.0000,1.0375,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000
0.9200,0.0000,0.0000,0.0000,0.8650,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.8171,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,0.0000,0.0000,0.0670,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,0.0000,0.0967,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,0.0000,0.0000,0.1275,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,0.0000,0.0000,0.0340,0.0000,0.0000,0.0000
1.2200,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000
0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.5875,0.0000,0.0000
1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.1980,0.0000,0.0000
0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000
1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.2429,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9460,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7420,0.0000
1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7460,0.0000
1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2642,0.0000
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3473,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2370
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6080
1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1097
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6363
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6875
0.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7774
1.1600,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1633,1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1175,0.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9960,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9217,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1900,3.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1700,3.6150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0100,3.3725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9700,3.2460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,3.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,3.0943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,2.0750,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,2.0800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9800,0.0000,1.9475,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,1.6883,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9200,0.0000,1.6086,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1700,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,1.1400,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,0.0000,0.0000,1.0375,0.0000,0.0000,0.0000,0.0000
0.0000,0.9200,0.0000,0.0000,0.9340,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,0.0000,0.0000,0.8650,0.0000,0.0000,0.0000,0.0000
0.0000,1.1600,0.0000,0.0000,0.0000,1.5500,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,0.0000,0.0000,0.9450,0.0000,0.0000,0.0000
0.0000,1.2100,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
0.0000,1.1500,0.0000,0.0000,0.0000,0.0680,0.0000,0.0000,0.0000
0.0000,1.1500,0.0000,0.0000,0.0000,0.0191,0.0000,0.0000,0.0000
0.0000,1.2100,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000
0.0000,1.0300,0.0000,0.0000,0.0000,0.0000,0.3850,0.0000,0.0000
0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.4433,0.0000,0.0000
0.0000,1.0900,0.0000,0.0000,0.0000,0.0000,0.2175,0.0000,0.0000
0.0000,1.0100,0.0000,0.0000,0.0000,0.0000,0.4280,0.0000,0.0000
0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.3467,0.0000,0.0000
0.0000,1.0600,0.0000,0.0000,0.0000,0.0000,0.2443,0.0000,0.0000
0.0000,1.1900,0.0000,0.0000,0.0000,0.0000,0.0000,8.8830,0.0000
0.0000,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8875,0.0000
0.0000,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,8.7363,0.0000
0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.4168,0.0000
0.0000,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,9.6016,0.0000
0.0000,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,7.6307,0.0000
0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4167,0.0000
0.0000,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0830
