"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm","Total-Throughput"
0,2,1,0,0,0,0,0,0,4.6796
0,3,1,0,0,0,0,0,0,5.7278
0,4,1,0,0,0,0,0,0,5.8947
0,5,1,0,0,0,0,0,0,6.1715
0,6,1,0,0,0,0,0,0,6.9853
0,7,1,0,0,0,0,0,0,7.1078
0,0,1,0,0,0,0,0,0,1.0000
0,0,2,0,0,0,0,0,0,1.9225
0,0,3,0,0,0,0,0,0,2.9535
0,0,4,0,0,0,0,0,0,4.0078
0,0,5,0,0,0,0,0,0,4.9457
0,0,6,0,0,0,0,0,0,5.9380
0,0,7,0,0,0,0,0,0,6.7985
0,0,8,0,0,0,0,0,0,7.7597
0,0,1,1,0,0,0,0,0,1.9778
0,0,1,2,0,0,0,0,0,2.6649
0,0,1,3,0,0,0,0,0,3.8895
0,0,1,4,0,0,0,0,0,3.0898
0,0,1,5,0,0,0,0,0,2.4264
0,0,1,6,0,0,0,0,0,2.9617
0,0,1,7,0,0,0,0,0,2.9472
0,0,1,0,1,0,0,0,0,2.2209
0,0,1,0,2,0,0,0,0,2.9457
0,0,1,0,3,0,0,0,0,4.1557
0,0,1,0,4,0,0,0,0,4.9070
0,0,1,0,5,0,0,0,0,5.8127
0,0,1,0,6,0,0,0,0,6.6705
0,0,1,0,7,0,0,0,0,7.5963
0,0,1,0,0,1,0,0,0,2.0198
0,0,1,0,0,2,0,0,0,2.7880
0,0,1,0,0,3,0,0,0,3.3281
0,0,1,0,0,4,0,0,0,4.1895
0,0,1,0,0,5,0,0,0,4.4067
0,0,1,0,0,6,0,0,0,4.8195
0,0,1,0,0,7,0,0,0,5.7089
0,0,1,0,0,0,1,0,0,1.6912
0,0,1,0,0,0,2,0,0,2.9619
0,0,1,0,0,0,3,0,0,3.6455
0,0,1,0,0,0,4,0,0,3.7354
0,0,1,0,0,0,5,0,0,3.2264
0,0,1,0,0,0,6,0,0,4.4564
0,0,1,0,0,0,7,0,0,4.4254
0,0,1,0,0,0,0,1,0,1.9768
0,0,1,0,0,0,0,2,0,3.1243
0,0,1,0,0,0,0,3,0,4.1007
0,0,1,0,0,0,0,4,0,4.9231
0,0,1,0,0,0,0,5,0,5.8727
