"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","ISR"
0.0000,0.8937,0.0000,0.0000,0.0000,0.7760,0.0000
0.0000,0.7508,0.0000,0.0000,0.0000,0.6996,0.0000
0.0000,0.6811,0.0000,0.0000,0.0000,0.6364,0.0000
0.0000,1.0598,0.0000,0.0000,0.0000,0.0000,1.0741
0.0000,0.9103,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.8837,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.8704,0.0000,0.0000,0.0000,0.0000,1.0000
0.0000,0.7442,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.7674,0.0000,0.0000,0.0000,0.0000,0.9630
0.0000,0.6844,0.0000,0.0000,0.0000,0.0000,0.9630
0.8527,0.0000,0.8054,0.0000,0.0000,0.0000,0.0000
0.8411,0.0000,0.7676,0.0000,0.0000,0.0000,0.0000
0.7597,0.0000,0.6865,0.0000,0.0000,0.0000,0.0000
0.7093,0.0000,0.6486,0.0000,0.0000,0.0000,0.0000
0.7023,0.0000,0.6324,0.0000,0.0000,0.0000,0.0000
0.6344,0.0000,0.5514,0.0000,0.0000,0.0000,0.0000
0.6246,0.0000,0.5676,0.0000,0.0000,0.0000,0.0000
0.0000,1.0565,0.9946,0.0000,0.0000,0.0000,0.0000
0.0000,0.9967,0.9568,0.0000,0.0000,0.0000,0.0000
0.0000,0.9612,0.9459,0.0000,0.0000,0.0000,0.0000
0.0000,0.9103,0.9459,0.0000,0.0000,0.0000,0.0000
0.0000,1.0259,0.9351,0.0000,0.0000,0.0000,0.0000
0.0000,0.9221,0.9243,0.0000,0.0000,0.0000,0.0000
0.0000,0.8624,0.8595,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9919,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8973,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8892,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8876,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8479,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.7601,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9838,0.9586,0.0000,0.0000,0.0000
0.0000,0.0000,0.9622,0.8149,0.0000,0.0000,0.0000
0.0000,0.0000,0.9459,0.7940,0.0000,0.0000,0.0000
0.0000,0.0000,0.8865,0.7781,0.0000,0.0000,0.0000
0.0000,0.0000,0.7351,0.6094,0.0000,0.0000,0.0000
0.0000,0.0000,0.7459,0.6807,0.0000,0.0000,0.0000
0.0000,0.0000,0.6378,0.5300,0.0000,0.0000,0.0000
0.0000,0.0000,0.9838,0.0000,0.9147,0.0000,0.0000
0.0000,0.0000,0.9622,0.0000,0.8080,0.0000,0.0000
0.0000,0.0000,0.9351,0.0000,0.7814,0.0000,0.0000
0.0000,0.0000,0.8757,0.0000,0.7739,0.0000,0.0000
0.0000,0.0000,0.7351,0.0000,0.6360,0.0000,0.0000
0.0000,0.0000,0.7459,0.0000,0.6874,0.0000,0.0000
0.0000,0.0000,0.6378,0.0000,0.5337,0.0000,0.0000
0.0000,0.0000,0.9730,0.0000,0.0000,0.9270,0.0000
0.0000,0.0000,0.9459,0.0000,0.0000,0.8777,0.0000
0.0000,0.0000,0.9189,0.0000,0.0000,0.8455,0.0000
0.0000,0.0000,0.8649,0.0000,0.0000,0.7897,0.0000
0.0000,0.0000,0.7730,0.0000,0.0000,0.7176,0.0000
0.0000,0.0000,0.7784,0.0000,0.0000,0.7210,0.0000
0.0000,0.0000,0.6703,0.0000,0.0000,0.6579,0.0000
0.0000,0.0000,0.9351,0.0000,0.0000,0.0000,1.0000
0.0000,0.0000,0.8919,0.0000,0.0000,0.0000,0.9815
0.0000,0.0000,0.8541,0.0000,0.0000,0.0000,0.9877
0.0000,0.0000,0.8054,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.7243,0.0000,0.0000,0.0000,0.9630
0.0000,0.0000,0.7838,0.0000,0.0000,0.0000,1.0741
0.0000,0.0000,0.6432,0.0000,0.0000,0.0000,0.9630
0.9612,0.0000,0.0000,0.8509,0.0000,0.0000,0.0000
0.9031,0.0000,0.0000,0.8564,0.0000,0.0000,0.0000
0.7933,0.0000,0.0000,0.6825,0.0000,0.0000,0.0000
0.7287,0.0000,0.0000,0.6531,0.0000,0.0000,0.0000
0.7256,0.0000,0.0000,0.6798,0.0000,0.0000,0.0000
0.6486,0.0000,0.0000,0.5641,0.0000,0.0000,0.0000
0.5958,0.0000,0.0000,0.5885,0.0000,0.0000,0.0000
0.0000,1.0355,0.0000,1.0279,0.0000,0.0000,0.0000
0.0000,0.9319,0.0000,0.8804,0.0000,0.0000,0.0000
0.0000,0.9435,0.0000,0.8297,0.0000,0.0000,0.0000
0.0000,0.9327,0.0000,0.7894,0.0000,0.0000,0.0000
0.0000,0.8997,0.0000,0.7631,0.0000,0.0000,0.0000
0.0000,0.9097,0.0000,0.7437,0.0000,0.0000,0.0000
0.0000,0.8571,0.0000,0.6578,0.0000,0.0000,0.0000
0.0000,0.0000,0.9838,0.9586,0.0000,0.0000,0.0000
0.0000,0.0000,0.9676,0.8587,0.0000,0.0000,0.0000
0.0000,0.0000,0.8973,0.8219,0.0000,0.0000,0.0000
0.0000,0.0000,0.8703,0.7964,0.0000,0.0000,0.0000
0.0000,0.0000,0.7805,0.7096,0.0000,0.0000,0.0000
0.0000,0.0000,0.8081,0.7425,0.0000,0.0000,0.0000
0.0000,0.0000,0.7344,0.6763,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8879,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7609,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7323,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7560,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.5983,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6662,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.5042,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8382,0.8805,0.0000,0.0000
0.0000,0.0000,0.0000,0.7549,0.8179,0.0000,0.0000
0.0000,0.0000,0.0000,0.7042,0.7557,0.0000,0.0000
0.0000,0.0000,0.0000,0.7116,0.7470,0.0000,0.0000
0.0000,0.0000,0.0000,0.5799,0.6139,0.0000,0.0000
0.0000,0.0000,0.0000,0.6407,0.6946,0.0000,0.0000
0.0000,0.0000,0.0000,0.5037,0.5379,0.0000,0.0000
0.0000,0.0000,0.0000,0.8870,0.0000,0.9142,0.0000
0.0000,0.0000,0.0000,0.8072,0.0000,0.8648,0.0000
0.0000,0.0000,0.0000,0.7480,0.0000,0.8183,0.0000
0.0000,0.0000,0.0000,0.7518,0.0000,0.7822,0.0000
0.0000,0.0000,0.0000,0.6276,0.0000,0.7064,0.0000
0.0000,0.0000,0.0000,0.6125,0.0000,0.6974,0.0000
0.0000,0.0000,0.0000,0.5606,0.0000,0.6456,0.0000
0.0000,0.0000,0.0000,0.8877,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.8277,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.7828,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.7708,0.0000,0.0000,1.0278
0.0000,0.0000,0.0000,0.6686,0.0000,0.0000,0.9630
0.0000,0.0000,0.0000,0.6187,0.0000,0.0000,1.0000
0.0000,0.0000,0.0000,0.5738,0.0000,0.0000,0.9630
0.9690,0.0000,0.0000,0.0000,0.8628,0.0000,0.0000
0.8915,0.0000,0.0000,0.0000,0.8048,0.0000,0.0000
0.8036,0.0000,0.0000,0.0000,0.7227,0.0000,0.0000
0.7442,0.0000,0.0000,0.0000,0.6720,0.0000,0.0000
0.7240,0.0000,0.0000,0.0000,0.6680,0.0000,0.0000
0.6499,0.0000,0.0000,0.0000,0.5561,0.0000,0.0000
0.5969,0.0000,0.0000,0.0000,0.5662,0.0000,0.0000
0.0000,1.0100,0.0000,0.0000,0.9759,0.0000,0.0000
0.0000,0.9336,0.0000,0.0000,0.8636,0.0000,0.0000
0.0000,0.9790,0.0000,0.0000,0.8712,0.0000,0.0000
0.0000,0.8945,0.0000,0.0000,0.8121,0.0000,0.0000
0.0000,0.8917,0.0000,0.0000,0.7453,0.0000,0.0000
0.0000,0.9180,0.0000,0.0000,0.7123,0.0000,0.0000
0.0000,0.8392,0.0000,0.0000,0.6507,0.0000,0.0000
0.0000,0.0000,0.9838,0.0000,0.9147,0.0000,0.0000
0.0000,0.0000,0.9676,0.0000,0.8330,0.0000,0.0000
0.0000,0.0000,0.9207,0.0000,0.8334,0.0000,0.0000
0.0000,0.0000,0.8635,0.0000,0.8080,0.0000,0.0000
0.0000,0.0000,0.7773,0.0000,0.7131,0.0000,0.0000
0.0000,0.0000,0.8108,0.0000,0.7553,0.0000,0.0000
0.0000,0.0000,0.7328,0.0000,0.6748,0.0000,0.0000
0.0000,0.0000,0.0000,0.8382,0.8805,0.0000,0.0000
0.0000,0.0000,0.0000,0.7816,0.8334,0.0000,0.0000
0.0000,0.0000,0.0000,0.7321,0.7304,0.0000,0.0000
0.0000,0.0000,0.0000,0.7185,0.7421,0.0000,0.0000
0.0000,0.0000,0.0000,0.5957,0.6398,0.0000,0.0000
0.0000,0.0000,0.0000,0.6756,0.6901,0.0000,0.0000
0.0000,0.0000,0.0000,0.5464,0.5666,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.8525,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.7905,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.7070,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.6759,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.6110,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.5952,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.5244,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.8708,0.9185,0.0000
0.0000,0.0000,0.0000,0.0000,0.8503,0.8841,0.0000
0.0000,0.0000,0.0000,0.0000,0.8048,0.8569,0.0000
0.0000,0.0000,0.0000,0.0000,0.6861,0.7865,0.0000
0.0000,0.0000,0.0000,0.0000,0.6274,0.7227,0.0000
0.0000,0.0000,0.0000,0.0000,0.6676,0.7160,0.0000
0.0000,0.0000,0.0000,0.0000,0.5473,0.6573,0.0000
0.0000,0.0000,0.0000,0.0000,0.8584,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.8616,0.0000,1.0741
0.0000,0.0000,0.0000,0.0000,0.8668,0.0000,1.0864
0.0000,0.0000,0.0000,0.0000,0.8821,0.0000,1.0741
0.0000,0.0000,0.0000,0.0000,0.6704,0.0000,0.9778
0.0000,0.0000,0.0000,0.0000,0.6596,0.0000,1.0000
0.0000,0.0000,0.0000,0.0000,0.5018,0.0000,0.9630
0.9535,0.0000,0.0000,0.0000,0.0000,0.9485,0.0000
