"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm","Total,Throughput"
1,0,0,0,0,0,0,0,0,1.1800
2,0,0,0,0,0,0,0,0,2.3400
3,0,0,0,0,0,0,0,0,3.6000
4,0,0,0,0,0,0,0,0,4.5600
5,0,0,0,0,0,0,0,0,5.3700
6,0,0,0,0,0,0,0,0,5.9000
7,0,0,0,0,0,0,0,0,6.5800
1,2,0,0,0,0,0,0,0,3.5200
1,3,0,0,0,0,0,0,0,4.3800
1,4,0,0,0,0,0,0,0,5.3000
1,5,0,0,0,0,0,0,0,5.8500
1,6,0,0,0,0,0,0,0,6.5900
1,7,0,0,0,0,0,0,0,7.2600
1,0,1,0,0,0,0,0,0,2.5200
1,0,2,0,0,0,0,0,0,3.8100
1,0,3,0,0,0,0,0,0,5.0100
1,0,4,0,0,0,0,0,0,6.0400
1,0,5,0,0,0,0,0,0,7.3100
1,0,6,0,0,0,0,0,0,8.6000
1,0,7,0,0,0,0,0,0,9.6700
1,0,0,1,0,0,0,0,0,3.2500
1,0,0,3,0,0,0,0,0,7.3600
1,0,0,4,0,0,0,0,0,8.6700
1,0,0,5,0,0,0,0,0,9.8400
1,0,0,7,0,0,0,0,0,12.3000
1,0,0,0,1,0,0,0,0,2.2400
1,0,0,0,2,0,0,0,0,3.3700
1,0,0,0,3,0,0,0,0,4.6000
1,0,0,0,4,0,0,0,0,5.0800
1,0,0,0,5,0,0,0,0,5.6400
1,0,0,0,6,0,0,0,0,6.1100
1,0,0,0,7,0,0,0,0,6.6800
1,0,0,0,0,1,0,0,0,1.3400
1,0,0,0,0,2,0,0,0,1.3740
1,0,0,0,0,3,0,0,0,1.4300
1,0,0,0,0,4,0,0,0,1.6700
1,0,0,0,0,5,0,0,0,1.3200
1,0,0,0,0,6,0,0,0,1.5800
1,0,0,0,0,7,0,0,0,1.3000
1,0,0,0,0,0,1,0,0,1.7100
1,0,0,0,0,0,2,0,0,1.8100
1,0,0,0,0,0,3,0,0,2.0700
1,0,0,0,0,0,4,0,0,3.3000
1,0,0,0,0,0,5,0,0,2.0500
1,0,0,0,0,0,6,0,0,2.9700
1,0,0,0,0,0,7,0,0,2.7800
1,0,0,0,0,0,0,1,0,10.1260
1,0,0,0,0,0,0,2,0,18.6640
1,0,0,0,0,0,0,3,0,27.4480
1,0,0,0,0,0,0,5,0,42.4310
1,0,0,0,0,0,0,7,0,52.4710
1,0,0,0,0,0,0,0,1,3.4170
1,0,0,0,0,0,0,0,2,4.4160
1,0,0,0,0,0,0,0,3,16.5490
1,0,0,0,0,0,0,0,4,23.5850
1,0,0,0,0,0,0,0,6,11.1250
1,0,0,0,0,0,0,0,7,13.4220
2,1,0,0,0,0,0,0,0,3.4900
3,1,0,0,0,0,0,0,0,4.7000
4,1,0,0,0,0,0,0,0,5.3800
5,1,0,0,0,0,0,0,0,5.9000
6,1,0,0,0,0,0,0,0,6.4000
0,1,0,0,0,0,0,0,0,1.2200
0,2,0,0,0,0,0,0,0,2.3300
0,3,0,0,0,0,0,0,0,3.4200
0,4,0,0,0,0,0,0,0,4.6300
0,5,0,0,0,0,0,0,0,5.3100
0,6,0,0,0,0,0,0,0,5.7900
0,7,0,0,0,0,0,0,0,6.4700
0,8,0,0,0,0,0,0,0,7.1400
0,1,1,0,0,0,0,0,0,4.8600
0,1,2,0,0,0,0,0,0,8.4000
0,1,4,0,0,0,0,0,0,14.5000
0,1,5,0,0,0,0,0,0,17.2000
0,1,6,0,0,0,0,0,0,19.6400
0,1,7,0,0,0,0,0,0,22.6600
0,1,0,1,0,0,0,0,0,3.2700
0,1,0,2,0,0,0,0,0,5.3500
0,1,0,3,0,0,0,0,0,7.4200
0,1,0,4,0,0,0,0,0,8.7700
0,1,0,6,0,0,0,0,0,11.1300
0,1,0,7,0,0,0,0,0,12.1800
0,1,0,0,1,0,0,0,0,2.2800
0,1,0,0,2,0,0,0,0,3.3400
0,1,0,0,4,0,0,0,0,5.1000
0,1,0,0,5,0,0,0,0,5.5900
0,1,0,0,6,0,0,0,0,6.1400
0,1,0,0,0,1,0,0,0,2.7100
0,1,0,0,0,2,0,0,0,3.0700
0,1,0,0,0,3,0,0,0,1.3600
0,1,0,0,0,4,0,0,0,1.3800
0,1,0,0,0,5,0,0,0,1.4900
0,1,0,0,0,7,0,0,0,1.2840
0,1,0,0,0,0,1,0,0,1.7200
0,1,0,0,0,0,2,0,0,1.8000
0,1,0,0,0,0,3,0,0,2.2900
0,1,0,0,0,0,4,0,0,1.9600
0,1,0,0,0,0,5,0,0,3.1500
0,1,0,0,0,0,6,0,0,3.0200
0,1,0,0,0,0,7,0,0,2.7700
0,1,0,0,0,0,0,1,0,10.0730
0,1,0,0,0,0,0,2,0,18.9750
0,1,0,0,0,0,0,3,0,27.3790
0,1,0,0,0,0,0,4,0,34.7470
0,1,0,0,0,0,0,5,0,49.1180
0,1,0,0,0,0,0,6,0,46.9040
0,1,0,0,0,0,0,7,0,53.0170
0,1,0,0,0,0,0,0,1,2.2830
0,1,0,0,0,0,0,0,2,4.7640
0,1,0,0,0,0,0,0,3,6.1240
0,1,0,0,0,0,0,0,4,24.7010
0,1,0,0,0,0,0,0,5,9.1260
0,1,0,0,0,0,0,0,6,36.2180
0,1,0,0,0,0,0,0,7,41.9270
1,0,1,0,0,0,0,0,0,2.5200
3,0,1,0,0,0,0,0,0,4.6800
4,0,1,0,0,0,0,0,0,5.5600
5,0,1,0,0,0,0,0,0,6.2400
6,0,1,0,0,0,0,0,0,6.9300
0,1,1,0,0,0,0,0,0,4.8600
0,2,1,0,0,0,0,0,0,6.0100
0,3,1,0,0,0,0,0,0,7.1700
0,4,1,0,0,0,0,0,0,6.8800
0,6,1,0,0,0,0,0,0,8.1600
0,7,1,0,0,0,0,0,0,9.2600
0,0,1,0,0,0,0,0,0,0.0000
0,0,2,0,0,0,0,0,0,2.5500
0,0,3,0,0,0,0,0,0,3.8300
0,0,4,0,0,0,0,0,0,5.1100
0,0,5,0,0,0,0,0,0,6.4000
0,0,6,0,0,0,0,0,0,7.5100
0,0,7,0,0,0,0,0,0,8.8000
0,0,8,0,0,0,0,0,0,9.9500
0,0,1,1,0,0,0,0,0,3.3500
0,0,1,2,0,0,0,0,0,5.5300
0,0,1,4,0,0,0,0,0,9.1500
0,0,1,5,0,0,0,0,0,10.3600
0,0,1,6,0,0,0,0,0,11.5200
0,0,1,7,0,0,0,0,0,12.9400
