"Redis-Alone","Redis-1","MMS-1","Checksum","ISR","YCSB","Scene-Detect","Stream-Spark","Stream-Storm"
1.0085,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0171,0.0000,0.9326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9715,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9295,0.0000,0.8372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9009,0.0000,0.8372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8305,0.0000,0.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7668,0.0000,0.8450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0172,2.8527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9871,2.7054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9713,2.8140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9504,2.0930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8328,2.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8348,1.9767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7463,1.8837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.9933,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9535,0.8557,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9767,0.9709,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.5194,0.6426,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9767,0.2899,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3643,0.4329,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3566,0.3701,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0543,0.0000,1.1667,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9457,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9612,0.0000,1.0648,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9070,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8682,0.0000,0.9889,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.8372,0.0000,0.9722,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.7907,0.0000,0.9722,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0078,0.0000,0.0000,1.0120,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.0000,0.0000,0.9017,0.0000,0.0000,0.0000
0.0000,0.0000,0.9535,0.0000,0.0000,0.7915,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.0000,0.0000,0.8012,0.0000,0.0000,0.0000
0.0000,0.0000,0.9070,0.0000,0.0000,0.6999,0.0000,0.0000,0.0000
0.0000,0.0000,0.8760,0.0000,0.0000,0.6572,0.0000,0.0000,0.0000
0.0000,0.0000,0.9535,0.0000,0.0000,0.6793,0.0000,0.0000,0.0000
0.0000,0.0000,1.0465,0.0000,0.0000,0.0000,0.6447,0.0000,0.0000
0.0000,0.0000,1.0233,0.0000,0.0000,0.0000,0.9693,0.0000,0.0000
0.0000,0.0000,0.9612,0.0000,0.0000,0.0000,0.8947,0.0000,0.0000
0.0000,0.0000,0.7442,0.0000,0.0000,0.0000,0.7478,0.0000,0.0000
0.0000,0.0000,0.9457,0.0000,0.0000,0.0000,0.4561,0.0000,0.0000
0.0000,0.0000,0.4651,0.0000,0.0000,0.0000,0.6652,0.0000,0.0000
0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.5846,0.0000,0.0000
0.0000,0.0000,0.9922,0.0000,0.0000,0.0000,0.0000,0.9846,0.0000
0.0000,0.0000,1.0775,0.0000,0.0000,0.0000,0.0000,1.0234,0.0000
0.0000,0.0000,1.0543,0.0000,0.0000,0.0000,0.0000,1.0155,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.9808,0.0000
0.0000,0.0000,1.0078,0.0000,0.0000,0.0000,0.0000,0.9730,0.0000
0.0000,0.0000,1.0155,0.0000,0.0000,0.0000,0.0000,0.9819,0.0000
0.0000,0.0000,0.9767,0.0000,0.0000,0.0000,0.0000,0.9718,0.0000
0.0000,0.0000,1.0078,0.0000,0.0000,0.0000,0.0000,0.0000,1.0499
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1518
0.0000,0.0000,1.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.7853
0.0000,0.0000,0.9690,0.0000,0.0000,0.0000,0.0000,0.0000,1.0986
0.0000,0.0000,1.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.9655
0.0000,0.0000,0.5814,0.0000,0.0000,0.0000,0.0000,0.0000,0.9780
0.0000,0.0000,0.9380,0.0000,0.0000,0.0000,0.0000,0.0000,0.9561
1.0598,0.0000,0.0000,0.6242,0.0000,0.0000,0.0000,0.0000,0.0000
1.0128,0.0000,0.0000,0.9463,0.0000,0.0000,0.0000,0.0000,0.0000
0.9145,0.0000,0.0000,0.8322,0.0000,0.0000,0.0000,0.0000,0.0000
0.8226,0.0000,0.0000,0.8322,0.0000,0.0000,0.0000,0.0000,0.0000
0.7778,0.0000,0.0000,0.7383,0.0000,0.0000,0.0000,0.0000,0.0000
0.7664,0.0000,0.0000,0.7383,0.0000,0.0000,0.0000,0.0000,0.0000
0.7143,0.0000,0.0000,0.7114,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0862,0.0000,0.9866,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0172,0.0000,0.9128,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8994,0.0000,0.8389,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8017,0.0000,0.7852,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7690,0.0000,0.7517,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7572,0.0000,0.6174,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.7278,0.0000,0.6711,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.9933,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0194,0.9933,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.9329,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9729,0.9128,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9736,0.9329,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9802,0.4094,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9856,0.9799,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7919,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.2550,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.1644,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.9154,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7315,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.1630,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.4186,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8859,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.5369,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8389,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7315,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7248,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6644,0.9815,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6309,0.9722,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.9732,0.0000,0.9791,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.9262,0.0000,0.9679,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8993,0.0000,0.8714,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8926,0.0000,0.8056,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7383,0.0000,0.6863,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7383,0.0000,0.6267,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6846,0.0000,0.5940,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.9799,0.0000,0.0000,0.9518,0.0000,0.0000
0.0000,0.0000,0.0000,0.7919,0.0000,0.0000,0.8289,0.0000,0.0000
0.0000,0.0000,0.0000,0.2349,0.0000,0.0000,0.2953,0.0000,0.0000
0.0000,0.0000,0.0000,0.1946,0.0000,0.0000,0.2599,0.0000,0.0000
0.0000,0.0000,0.0000,0.2752,0.0000,0.0000,0.3096,0.0000,0.0000
0.0000,0.0000,0.0000,0.7651,0.0000,0.0000,0.7434,0.0000,0.0000
0.0000,0.0000,0.0000,0.3960,0.0000,0.0000,0.4756,0.0000,0.0000
0.0000,0.0000,0.0000,0.9463,0.0000,0.0000,0.0000,0.9834,0.0000
0.0000,0.0000,0.0000,0.9799,0.0000,0.0000,0.0000,0.9834,0.0000
0.0000,0.0000,0.0000,0.9799,0.0000,0.0000,0.0000,0.9920,0.0000
0.0000,0.0000,0.0000,0.9732,0.0000,0.0000,0.0000,0.9801,0.0000
0.0000,0.0000,0.0000,0.9597,0.0000,0.0000,0.0000,0.9793,0.0000
0.0000,0.0000,0.0000,0.9195,0.0000,0.0000,0.0000,0.9718,0.0000
0.0000,0.0000,0.0000,0.9195,0.0000,0.0000,0.0000,0.9702,0.0000
0.0000,0.0000,0.0000,0.8591,0.0000,0.0000,0.0000,0.0000,1.1395
0.0000,0.0000,0.0000,0.9128,0.0000,0.0000,0.0000,0.0000,1.0173
0.0000,0.0000,0.0000,0.3826,0.0000,0.0000,0.0000,0.0000,0.8123
0.0000,0.0000,0.0000,0.9396,0.0000,0.0000,0.0000,0.0000,0.9941
0.0000,0.0000,0.0000,0.9060,0.0000,0.0000,0.0000,0.0000,1.0176
0.0000,0.0000,0.0000,0.8523,0.0000,0.0000,0.0000,0.0000,0.9909
0.0000,0.0000,0.0000,0.5906,0.0000,0.0000,0.0000,0.0000,0.9659
1.0085,0.0000,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,0.0000
0.9744,0.0000,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.9060,0.0000,0.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.8654,0.0000,0.0000,0.0000,1.2222,0.0000,0.0000,0.0000,0.0000
0.7949,0.0000,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.7692,0.0000,0.0000,0.0000,1.2500,0.0000,0.0000,0.0000,0.0000
0.6935,0.0000,0.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.0000,1.0345,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.0000,0.9871,0.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.0000,0.9138,0.0000,0.0000,1.0556,0.0000,0.0000,0.0000,0.0000
0.0000,0.8513,0.0000,0.0000,1.1111,0.0000,0.0000,0.0000,0.0000
0.0000,0.8017,0.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.0000,0.7586,0.0000,0.0000,1.1111,0.0000,0.0000,0.0000,0.0000
0.0000,0.6995,0.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0543,0.0000,1.1667,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9767,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0233,0.0000,1.1111,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,1.0833,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9845,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.9716,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.0100,0.0000,1.1111,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.8859,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.7752,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.2640,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.6141,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.5087,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.4251,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.3634,1.0556,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0185,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.1111,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.9676,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.9722,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.9653,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.8647,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0556,0.8257,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.7273,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0833,0.6964,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0833,0.6698,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0833,0.6445,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0556,0.5844,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.0000,0.9693,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.8794,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0556,0.0000,0.8143,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.0000,0.8081,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.0000,0.7105,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0278,0.0000,0.7456,0.0000,0.0000
