"Redis-1","MMS-1","Checksum","YCSB-A","YCSB-B","Scene-Detect","Total Throughput"
0,7,0,0,1,0,7.5982
0,0,1,0,1,0,1.8613
0,0,2,0,1,0,2.8757
0,0,3,0,1,0,3.7680
0,0,4,0,1,0,4.6209
0,0,5,0,1,0,5.2454
0,0,6,0,1,0,6.0621
0,0,7,0,1,0,6.7885
0,0,0,1,1,0,1.8472
0,0,0,2,1,0,2.3681
0,0,0,3,1,0,2.9656
0,0,0,4,1,0,3.6243
0,0,0,5,1,0,3.9658
0,0,0,6,1,0,4.3239
0,0,0,7,1,0,4.6267
0,0,0,0,1,0,1.0000
0,0,0,0,2,0,1.7326
0,0,0,0,3,0,2.5480
0,0,0,0,4,0,2.9007
0,0,0,0,5,0,3.4840
0,0,0,0,6,0,3.8283
0,0,0,0,7,0,4.1365
0,0,0,0,8,0,4.0484
0,0,0,0,1,1,1.8122
0,0,0,0,1,2,2.6264
0,0,0,0,1,3,3.4667
0,0,0,0,1,4,3.9173
0,0,0,0,1,5,4.6209
0,0,0,0,1,6,5.1382
0,0,0,0,1,7,5.4980
1,0,0,0,0,1,1.8987
2,0,0,0,0,1,2.6638
3,0,0,0,0,1,3.2848
4,0,0,0,0,1,3.8338
5,0,0,0,0,1,4.2774
6,0,0,0,0,1,4.7912
7,0,0,0,0,1,5.3434
0,1,0,0,0,1,2.0378
0,2,0,0,0,1,2.9277
0,3,0,0,0,1,4.0659
0,4,0,0,0,1,4.8463
0,5,0,0,0,1,5.7574
0,6,0,0,0,1,6.8183
0,7,0,0,0,1,7.7415
0,0,1,0,0,1,1.9570
0,0,2,0,0,1,2.9414
0,0,3,0,0,1,3.8128
0,0,4,0,0,1,4.8229
0,0,5,0,0,1,5.4441
0,0,6,0,0,1,6.2591
0,0,7,0,0,1,6.7080
0,0,0,1,0,1,1.8703
0,0,0,2,0,1,2.5995
0,0,0,3,0,1,3.1333
0,0,0,4,0,1,3.6221
0,0,0,5,0,1,4.1180
0,0,0,6,0,1,4.4754
0,0,0,7,0,1,4.4966
0,0,0,0,1,1,1.8122
0,0,0,0,2,1,2.4361
0,0,0,0,3,1,2.9524
0,0,0,0,4,1,3.5879
0,0,0,0,5,1,4.0095
0,0,0,0,6,1,4.4108
0,0,0,0,7,1,4.5098
0,0,0,0,0,1,1.0000
0,0,0,0,0,2,1.9269
0,0,0,0,0,3,2.8356
0,0,0,0,0,4,3.5845
0,0,0,0,0,5,4.2283
0,0,0,0,0,6,4.7717
0,0,0,0,0,7,5.1461
0,0,0,0,0,8,5.6119
