Redis-1,MMS-1,Checksum,YCSB-A,YCSB-B,Scene-Detect,ISR,Total-Throughput,,
0,0,1,0,0,3,0,0,0,3.661
0,0,1,0,0,4,0,0,0,4.3395
0,0,1,0,0,5,0,0,0,4.763
0,0,1,0,0,6,0,0,0,5.224
0,0,1,0,0,7,0,0,0,5.9417
0,0,1,0,0,0,1,0,0,1.989
0,0,1,0,0,0,2,0,0,2.9725
0,0,1,0,0,0,3,0,0,3.9835
0,0,1,0,0,0,4,0,0,4.978
0,0,1,0,0,0,5,0,0,5.9176
0,0,1,0,0,0,6,0,0,6.8792
0,0,1,0,0,0,7,0,0,7.7198
1,0,0,1,0,0,0,0,0,1.841
2,0,0,1,0,0,0,0,0,2.5774
3,0,0,1,0,0,0,0,0,3.1102
4,0,0,1,0,0,0,0,0,3.5803
5,0,0,1,0,0,0,0,0,4.318
6,0,0,1,0,0,0,0,0,4.605
7,0,0,1,0,0,0,0,0,4.7559
0,1,0,1,0,0,0,0,0,1.9421
0,2,0,1,0,0,0,0,0,2.8954
0,3,0,1,0,0,0,0,0,3.8592
0,4,0,1,0,0,0,0,0,4.7865
0,5,0,1,0,0,0,0,0,5.7686
0,6,0,1,0,0,0,0,0,6.6462
0,7,0,1,0,0,0,0,0,7.5633
0,0,1,1,0,0,0,0,0,1.9231
0,0,2,1,0,0,0,0,0,2.7998
0,0,3,1,0,0,0,0,0,3.6477
0,0,4,1,0,0,0,0,0,4.3778
0,0,5,1,0,0,0,0,0,5.0553
0,0,6,1,0,0,0,0,0,5.6127
0,0,7,1,0,0,0,0,0,6.1889
0,0,0,1,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,1.8752
0,0,0,3,0,0,0,0,0,2.3721
0,0,0,4,0,0,0,0,0,2.9935
0,0,0,5,0,0,0,0,0,3.5156
0,0,0,6,0,0,0,0,0,3.848
0,0,0,7,0,0,0,0,0,4.2537
0,0,0,8,0,0,0,0,0,4.5484
0,0,0,1,1,0,0,0,0,1.8534
0,0,0,1,2,0,0,0,0,2.4826
0,0,0,1,3,0,0,0,0,3.0909
0,0,0,1,4,0,0,0,0,3.5658
0,0,0,1,5,0,0,0,0,4.0524
0,0,0,1,6,0,0,0,0,4.3578
0,0,0,1,7,0,0,0,0,4.5515
0,0,0,1,0,1,0,0,0,1.8682
0,0,0,1,0,2,0,0,0,2.6374
0,0,0,1,0,3,0,0,0,3.4477
0,0,0,1,0,4,0,0,0,4.0454
0,0,0,1,0,5,0,0,0,4.568
0,0,0,1,0,6,0,0,0,5.0314
0,0,0,1,0,7,0,0,0,5.5097
0,0,0,1,0,0,1,0,0,1.9663
0,0,0,1,0,0,2,0,0,2.9269
0,0,0,1,0,0,3,0,0,3.9601
0,0,0,1,0,0,4,0,0,4.9402
0,0,0,1,0,0,5,0,0,5.9256
0,0,0,1,0,0,6,0,0,6.8343
0,0,0,1,0,0,7,0,0,7.6184
1,0,0,0,1,0,0,0,0,1.8377
